Date/Time,Word Count,de,en,fr,lb
2023.11.08-19.08.46,0,0,0,0,0
2023.11.08-19.12.28,45,45,0,0,0
2023.11.08-19.16.38,3,3,0,0,0
2023.11.08-19.19.38,3,3,3,0,0
2023.11.08-19.22.43,3,3,3,3,3
2023.11.08-19.53.49,3,3,2,2,2
2023.11.08-19.55.29,3,3,3,3,3
2023.11.18-15.12.13,223,223,3,3,3
2023.11.18-15.15.48,223,223,0,0,0
2023.11.18-15.32.08,223,223,0,0,223
2023.12.09-18.59.55,256,256,0,0,0
2023.12.10-16.05.42,256,256,194,0,0
2023.12.10-16.13.56,256,256,256,256,0
2023.12.10-16.25.31,256,256,256,256,256
2023.12.12-16.37.15,264,264,256,256,256
2023.12.12-16.38.51,264,264,264,264,264
2024.03.02-15.29.54,270,270,264,264,264
2024.03.02-15.33.07,270,270,270,270,270
2024.03.02-15.42.49,270,0,0,0,0
2024.03.02-15.43.01,270,270,0,0,0
2024.03.02-22.41.26,270,270,270,270,270
2024.03.03-12.46.36,270,270,81,81,81
2024.03.03-12.47.40,270,270,270,270,270
